ø¨µµ,∆¿∏Ì,≈∏¿≤,∞Ê±‚ºˆ,≈∏ºˆ,µÊ¡°,æ»≈∏,¿Ã∑Á≈∏,ªÔ∑Á≈∏,»®∑±,≈∏¡°,µµ∑Á,µµ∑ÁΩ«∆–,∫º≥›,ªÁ±∏,ªÔ¡¯,∫¥ªÏ≈∏,¿Â≈∏¿≤,√‚∑Á¿≤,Ω«√•
2007,∑‘µ•,0.167,4,6,2,1,1,0,0,1,0,0,0,0,1,0,0.333,0.167,0
2008,∑‘µ•,0.303,80,218,31,66,11,1,3,17,2,3,28,2,35,4,0.404,0.387,1
2009,∑‘µ•,0.186,34,86,11,16,4,0,3,4,1,1,9,0,16,3,0.337,0.263,1
2010,∑‘µ•,0.306,121,422,85,129,23,0,11,47,6,2,50,1,82,2,0.438,0.377,4
2011,∑‘µ•,0.326,116,442,79,144,25,5,15,83,13,4,43,2,80,6,0.507,0.385,7
2012,∑‘µ•,0.314,132,503,61,158,26,0,5,58,10,5,41,6,79,7,0.396,0.37,3
2013,∑‘µ•,0.345,128,498,83,172,23,4,11,69,36,7,64,3,88,9,0.474,0.421,8
2014,∑‘µ•,0.362,122,483,105,175,25,3,18,80,10,3,80,5,78,7,0.538,0.456,4
2015,∑‘µ•,0.317,116,445,86,141,28,1,13,54,11,6,68,1,96,6,0.472,0.406,8
2016,∑‘µ•,0.323,144,575,118,186,33,1,16,81,42,4,92,3,104,4,0.468,0.418,3
2017,∑‘µ•,0.335,144,576,113,193,35,4,20,80,25,8,83,4,96,7,0.514,0.42,2
2018,∑‘µ•,0.329,141,553,109,182,32,5,26,93,20,3,68,2,99,15,0.546,0.404,4
