순위,선수명,팀명,타율,경기,타석,타수,득점,안타,이루타,삼루타,홈런,타점,희생번트,희생플라이
1,김선빈,KIA,0.37,137,529,476,84,176,34,1,5,64,5,4
2,박건우,두산,0.366,131,543,483,91,177,40,2,20,78,5,4
3,박민우,NC,0.363,106,452,388,84,141,25,4,3,47,3,4
4,나성범,NC,0.347,125,561,498,103,173,42,2,24,99,0,3
5,박용택,LG,0.344,138,596,509,83,175,23,2,14,90,0,9
6,최형우,KIA,0.342,142,629,514,98,176,36,3,26,120,0,8
7,김재환,두산,0.34,144,636,544,110,185,34,2,35,115,0,4
8,로사리오,한화,0.339,119,510,445,100,151,30,1,37,111,0,5
9,손아섭,롯데,0.335,144,667,576,113,193,35,4,20,80,1,3
10,서건창,넥센,0.332,139,615,539,87,179,28,3,6,76,2,6
11,이명기,KIA,0.332,115,512,464,79,154,24,4,9,63,14,3
12,송광민,한화,0.327,117,473,437,71,143,26,0,13,75,4,8
13,이정후,넥센,0.324,144,622,552,111,179,29,8,2,47,2,2
14,전준우,롯데,0.321,110,496,455,76,146,27,1,18,69,2,2
15,이대호,롯데,0.32,142,608,540,73,173,13,0,34,111,0,3
16,버나디나,KIA,0.32,139,621,557,118,178,26,8,27,111,3,9
17,최정,SK,0.316,130,527,430,89,136,18,1,46,113,0,8
18,안치홍,KIA,0.316,132,545,487,95,154,29,2,21,93,6,5
19,러프,삼성,0.315,134,591,515,90,162,38,0,31,124,0,4
20,윤석민,KT,0.312,142,586,538,90,168,30,1,20,105,0,7
21,모창민,NC,0.312,136,527,474,64,148,25,3,17,90,3,9
22,고종욱,넥센,0.312,123,453,426,70,133,24,8,8,54,0,2
23,구자욱,삼성,0.31,144,647,564,108,175,39,10,21,107,0,10
24,김주찬,KIA,0.309,122,478,440,78,136,39,2,12,70,2,1
25,오재일,두산,0.306,128,466,412,62,126,27,0,26,89,1,3
26,유한준,KT,0.306,133,497,445,52,136,19,0,13,68,2,3
27,민병헌,두산,0.304,123,520,447,73,136,21,0,14,71,1,6
28,강한울,삼성,0.303,135,448,412,58,125,9,3,0,24,9,1
29,번즈,롯데,0.303,116,468,423,71,128,38,0,15,57,2,3
30,김하성,넥센,0.302,141,601,526,90,159,36,3,23,114,2,7
